Geography,type_of_beverage,Metric,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nova_Scotia,Wines,Value_for_total_per_capita_sales,158,160.8,167.6,170.8,177.1,173.4,179.5,180.6,185.2,186.8,178.3
Nova_Scotia,Wines,Volume_for_total_per_capita_sales,11.5,11.5,12,12,12.3,11.8,12.2,12.2,12.1,11.5,10.6
Nova_Scotia,Wines,Absolute_volume_for_total_per_capita_sales,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.3
Nova_Scotia,Beer,Value_for_total_per_capita_sales,341,337.3,343.8,341.4,340.9,334.6,330.9,329,320.3,323.9,313.6
Nova_Scotia,Beer,Volume_for_total_per_capita_sales,75.2,73.4,74,72.5,71.9,70.6,68.7,67.6,65.3,63.3,58.3
Nova_Scotia,Beer,Absolute_volume_for_total_per_capita_sales,3.8,3.7,3.7,3.6,3.5,3.5,3.4,3.3,3.2,3.1,2.8
Nova_Scotia,Ciders_Coolers_and_Other_Refreshment_Beverages,Value_for_total_per_capita_sales,29.9,34.3,37.3,42.7,45.6,54,66.9,101.9,108.8,112.1,111.3
Nova_Scotia,Ciders_Coolers_and_Other_Refreshment_Beverages,Volume_for_total_per_capita_sales,4,4.9,5.3,6.1,6.4,7.5,9.3,14.3,15.4,15,14.2
Nova_Scotia,Ciders_Coolers_and_Other_Refreshment_Beverages,Absolute_volume_for_total_per_capita_sales,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.8,0.9,0.9,0.8
New_Brunswick,Total_alcoholic_beverages,Value_for_total_per_capita_sales,596,610.9,636.6,636.4,653.8,656.5,675.6,755.9,766.2,749,744.8
New_Brunswick,Total_alcoholic_beverages,Volume_for_total_per_capita_sales,86.2,86.6,89.3,92.1,92.7,93.3,93.2,104.5,102.2,95.8,90.9
New_Brunswick,Total_alcoholic_beverages,Absolute_volume_for_total_per_capita_sales,6.5,6.6,6.8,7,6.9,6.8,6.9,7.7,7.6,7.2,6.9
New_Brunswick,Spirits,Value_for_total_per_capita_sales,142.4,144.7,148.6,149,153.7,155.1,160.3,178,181.1,179.1,177.2
New_Brunswick,Spirits,Volume_for_total_per_capita_sales,4.4,4.4,4.5,4.6,4.6,4.6,4.7,5.2,5.2,5,4.8
New_Brunswick,Spirits,Absolute_volume_for_total_per_capita_sales,1.7,1.7,1.7,1.8,1.8,1.8,1.8,2,2,1.9,1.9
New_Brunswick,Wines,Value_for_total_per_capita_sales,121.7,129.7,135.8,140.4,151.1,150.2,154.3,164.2,168.2,162.3,161.5
New_Brunswick,Wines,Volume_for_total_per_capita_sales,9.2,9.7,10.1,10.3,10.7,10.4,10.6,11.4,11.3,10.6,10.2
New_Brunswick,Wines,Absolute_volume_for_total_per_capita_sales,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.3,1.3
New_Brunswick,Beer,Value_for_total_per_capita_sales,302.2,304.1,312.2,306.2,304.3,301.6,303.1,325.7,322,312.4,307.2
New_Brunswick,Beer,Volume_for_total_per_capita_sales,68.6,68.1,69.3,71.8,71.1,71.1,69.7,75.6,72.5,67.2,62.8
New_Brunswick,Beer,Absolute_volume_for_total_per_capita_sales,3.4,3.4,3.5,3.6,3.4,3.4,3.3,3.6,3.4,3.2,3
New_Brunswick,Ciders_Coolers_and_Other_Refreshment_Beverages,Value_for_total_per_capita_sales,29.7,32.4,40,40.8,44.8,49.6,57.9,88.1,95,95.2,98.9
New_Brunswick,Ciders_Coolers_and_Other_Refreshment_Beverages,Volume_for_total_per_capita_sales,4,4.4,5.4,5.5,6.2,7.1,8.1,12.2,13.2,13,13
New_Brunswick,Ciders_Coolers_and_Other_Refreshment_Beverages,Absolute_volume_for_total_per_capita_sales,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,0.8,0.8,0.8
Ontario,Total_alcoholic_beverages,Value_for_total_per_capita_sales,635.1,654.4,683.4,707.8,714.8,729.3,756,774.2,785.2,783.7,762.1
Ontario,Total_alcoholic_beverages,Volume_for_total_per_capita_sales,91.8,92,94.5,95.5,93.3,92.8,93.2,93.4,90.9,88.6,82.6
Ontario,Total_alcoholic_beverages,Absolute_volume_for_total_per_capita_sales,7.3,7.3,7.5,7.7,7.7,7.5,7.6,7.8,7.6,7.3,6.8
Ontario,Spirits,Value_for_total_per_capita_sales,160.1,162.7,169.3,177.1,184.3,187.1,196,209.4,218.7,215.8,208.5
Ontario,Spirits,Volume_for_total_per_capita_sales,5.1,5.1,5.1,5.5,5.5,5.5,5.6,5.8,5.8,5.4,5
Ontario,Spirits,Absolute_volume_for_total_per_capita_sales,1.9,1.9,2,2.1,2.1,2.1,2.1,2.2,2.2,2,1.9
Ontario,Wines,Value_for_total_per_capita_sales,189.9,198.7,208.2,216.4,220.5,216.9,228.5,233.1,232.2,223.2,215.2
Ontario,Wines,Volume_for_total_per_capita_sales,14.1,14.6,15.1,15.4,15.2,14.3,15,15.1,14.3,13.3,12.1
